Time,PFT,PFM,PCC,MFT
1471.9350000000013,528.218,344.649,333.037,1.1718
1471.964,528.255,344.496,332.846,1.17834
1472.0620000000015,528.273,343.976,332.268,1.17616
1472.0639999999985,528.273,343.976,332.268,1.17616
1472.164000000001,528.214,343.425,331.788,1.17471
1472.2129999999995,528.259,343.164,331.517,1.18269
1472.2979999999989,528.309,342.73,331.092,1.19866
1472.3129999999985,528.314,342.622,330.975,1.20084
1472.3739999999998,528.3,342.297,330.692,1.19213
1472.4130000000005,528.277,342.084,330.501,1.19068
1472.4629999999995,528.309,341.832,330.212,1.16745
1472.6320000000014,528.123,340.928,329.363,1.16309
1472.7170000000006,527.945,340.49,328.932,1.18269
1472.7279999999992,527.927,340.436,328.858,1.17834
1472.8349999999991,527.808,339.854,328.224,1.18197
1472.8830000000016,527.822,339.605,328.058,1.1914
1472.953000000001,527.945,339.235,327.75,1.18124
1472.9799999999996,527.981,339.068,327.615,1.18197
1473.0809999999983,528.031,338.531,327.104,1.18777
1473.164000000001,528.082,338.124,326.667,1.19648
1473.1769999999997,528.072,338.075,326.648,1.1914
1473.2900000000009,528.004,337.452,326.057,1.1689
1473.3420000000006,528.022,337.185,325.756,1.16454
1473.4209999999985,528.004,336.779,325.325,1.16963
1473.446,528.004,336.67,325.251,1.1718
1473.505000000001,528.0,336.35,325.017,1.1885
1473.5499999999993,527.995,336.074,324.789,1.18414
1473.6169999999984,528.086,335.772,324.531,1.18632
1473.6549999999988,528.163,335.578,324.315,1.17471
1473.726999999999,528.136,335.212,324.014,1.18414
1473.803,528.05,334.788,323.614,1.19503
1473.8129999999985,528.031,334.738,323.552,1.19576
1473.862000000001,527.977,334.462,323.337,1.18923
1473.960999999999,527.754,333.934,322.801,1.17616
1473.9629999999995,527.754,333.934,322.801,1.17616
1474.0400000000009,527.749,333.532,322.457,1.17108
1474.0639999999985,527.763,333.437,322.377,1.17253
1474.130000000001,527.822,333.076,322.007,1.16091
1474.1630000000005,527.854,332.936,321.817,1.16527
1474.2129999999995,527.922,332.688,321.663,1.18342
1474.262999999999,527.94,332.444,321.472,1.17761
